"Day ","Items ","Note ","Amount "
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14810 ","-15150"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14810 ","-18190"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14810 ","-19570"
"90","Sales E Commerce","Revenue - ECM SO ID: 14559","15709"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14944 ","-15150"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14944 ","-17850"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14944 ","-21850"
"90","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 15101 ","-147840"
"90","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 15101 ","-352000"
"90","Machines","Asset Disposed","36000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"90","Salary Expense","Cash Payment - Salary Expense","-31492"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15106","-114"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15133","-263"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15136","-291"
"90","Retail","Revenue - Retail Sales New York - Sparkling Wine","17528"
"90","Retail","Revenue - Retail Sales New York - Red Wine","29202"
"90","Retail","Revenue - Retail Sales New York - White Wine","17568"
"90","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","10136"
"90","Retail","Revenue - Retail Sales Detroit - Red Wine","17841"
"90","Retail","Revenue - Retail Sales Detroit - White Wine","13310"
"90","Retail","Revenue - Retail Sales Chicago - Sparkling Wine","6930"
"90","Retail","Revenue - Retail Sales Chicago - Red Wine","7200"
"90","Retail","Revenue - Retail Sales Chicago - White Wine","7854"
"90","Retail","Revenue - Retail Sales Miami - Sparkling Wine","2816"
"90","Retail","Revenue - Retail Sales Miami - Red Wine","3735"
"90","Retail","Revenue - Retail Sales Miami - White Wine","3724"
"90","Rental Expense","Cash Payment - Rental - New York","-4020"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"90","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"90","Rental Expense","Cash Payment - Rental - Chicago","-2220"
"90","Rental Expense","Cash Payment - Rental - Miami","-1120"
"89","Sales E Commerce","Revenue - ECM SO ID: 14378","14259"
"89","Human Resource Expense","Counselled","-2000"
"89","Human Resource Expense","Counselled","-2000"
"89","Human Resource Expense","Attended Training","-15000"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
